"","video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","publishTime","pub_date"
"1","Gr0iLB59BxU","2024-11-15T15:00:30Z","UCcyq283he07B7_KUX07mmtA","How The US Voted In Every Election, From George Washington To Donald Trump | Business Insider","The United States has had 60 presidential elections starting in 1789. New parties have come and gone, while new states ...","https://i.ytimg.com/vi/Gr0iLB59BxU/default.jpg","120","90","https://i.ytimg.com/vi/Gr0iLB59BxU/mqdefault.jpg","320","180","https://i.ytimg.com/vi/Gr0iLB59BxU/hqdefault.jpg","480","360","Business Insider","none","2024-11-15T15:00:30Z",2024-11-15
"2","SYsxwGyvI-s","2024-11-14T19:09:14Z","UC5bKZHg4PzURMOWcvanl6nA","Republicans complete US election sweep with control of House","Republicans have officially swept the election, winning enough seats to hold control of the U.S. House. Subscribe to FOX 13 ...","https://i.ytimg.com/vi/SYsxwGyvI-s/default.jpg","120","90","https://i.ytimg.com/vi/SYsxwGyvI-s/mqdefault.jpg","320","180","https://i.ytimg.com/vi/SYsxwGyvI-s/hqdefault.jpg","480","360","FOX 13 Seattle","none","2024-11-14T19:09:14Z",2024-11-14
"3","SMXJ-qx54x4","2024-11-06T22:44:03Z","UCLXo7UDZvByw2ixzpQCufnA","America’s shift to the right, in data #shorts","Subscribe to our channel and turn on notifications (  ) so you don't miss any videos: http://goo.gl/0bsAjO Vox is on a mission is to ...","https://i.ytimg.com/vi/SMXJ-qx54x4/default.jpg","120","90","https://i.ytimg.com/vi/SMXJ-qx54x4/mqdefault.jpg","320","180","https://i.ytimg.com/vi/SMXJ-qx54x4/hqdefault.jpg","480","360","Vox","none","2024-11-06T22:44:03Z",2024-11-06
"4","i-CX9ZPn6zg","2024-11-12T05:14:11Z","UCmZJz1J64RD7Ur7tI09s-FA","NewsNation calling House in favor of GOP","Neither the Associated Press nor NBC have projected a winner in the House since last week's election.","https://i.ytimg.com/vi/i-CX9ZPn6zg/default.jpg","120","90","https://i.ytimg.com/vi/i-CX9ZPn6zg/mqdefault.jpg","320","180","https://i.ytimg.com/vi/i-CX9ZPn6zg/hqdefault.jpg","480","360","KTSM 9 NEWS","none","2024-11-12T05:14:11Z",2024-11-12
"5","A3AXszRgX7I","2024-11-06T06:41:57Z","UCO0akufu9MOzyz3nvGIXAAw","Donald Trump wins the 2024 US election","Sky News Australia is projecting a win for Donald Trump who will become the 47th President of the United States. The former ...","https://i.ytimg.com/vi/A3AXszRgX7I/default.jpg","120","90","https://i.ytimg.com/vi/A3AXszRgX7I/mqdefault.jpg","320","180","https://i.ytimg.com/vi/A3AXszRgX7I/hqdefault.jpg","480","360","Sky News Australia","none","2024-11-06T06:41:57Z",2024-11-06
"6","Km1Dw8q98PQ","2024-11-06T13:24:12Z","UCIRYBXDze5krPDzAEOxFGVA","How US networks reacted to Donald Trump&#39;s election victory","American anchors had mixed reactions as they announced Donald Trump as the 47th president of the United States. Subscribe to ...","https://i.ytimg.com/vi/Km1Dw8q98PQ/default.jpg","120","90","https://i.ytimg.com/vi/Km1Dw8q98PQ/mqdefault.jpg","320","180","https://i.ytimg.com/vi/Km1Dw8q98PQ/hqdefault.jpg","480","360","Guardian News","none","2024-11-06T13:24:12Z",2024-11-06
"7","zuQZ7FPt6Ks","2024-11-06T08:38:20Z","UCBi2mrWuNuyYy4gbM6fU18Q","World reacts to 2024 presidential election results","World leaders and top officials are reacting to the unfolding results of the 2024 presidential election as the contest draws to an ...","https://i.ytimg.com/vi/zuQZ7FPt6Ks/default.jpg","120","90","https://i.ytimg.com/vi/zuQZ7FPt6Ks/mqdefault.jpg","320","180","https://i.ytimg.com/vi/zuQZ7FPt6Ks/hqdefault.jpg","480","360","ABC News","none","2024-11-06T08:38:20Z",2024-11-06
"8","4o6V4dThDhU","2024-10-27T01:51:16Z","UC0XBsJpPhOLg0k4x9ZwrWzw","On the trail with the Boss (and President Obama).","Help Vice President Kamala Harris and Governor Tim Walz put policies in place that protect our fundamental freedoms and defeat ...","https://i.ytimg.com/vi/4o6V4dThDhU/default.jpg","120","90","https://i.ytimg.com/vi/4o6V4dThDhU/mqdefault.jpg","320","180","https://i.ytimg.com/vi/4o6V4dThDhU/hqdefault.jpg","480","360","Kamala Harris","none","2024-10-27T01:51:16Z",2024-10-27
"9","qn9_eA5zPQk","2024-07-31T18:00:35Z","UCn4sPeUomNGIr26bElVdDYg","Harris vs. Trump: Who Are Celebrities Endorsing in the 2024 Election?","We know which ones we would rather hang with » Sign up for our newsletter KnowThis to get the biggest stories of the day ...","https://i.ytimg.com/vi/qn9_eA5zPQk/default.jpg","120","90","https://i.ytimg.com/vi/qn9_eA5zPQk/mqdefault.jpg","320","180","https://i.ytimg.com/vi/qn9_eA5zPQk/hqdefault.jpg","480","360","NowThis Impact","none","2024-07-31T18:00:35Z",2024-07-31
"10","2g7XtSa9qCA","2024-11-15T21:00:01Z","UCxcrzzhQDj5zKJbXfIscCtg","The one thing Trump demands of his new cabinet - America’s Last Election 5 | If You’re Listening","Donald Trump is bringing together his cabinet, from RFK to Matt Gaetz to Elon Musk to Vivek Ramaswamy. The one thing he is ...","https://i.ytimg.com/vi/2g7XtSa9qCA/default.jpg","120","90","https://i.ytimg.com/vi/2g7XtSa9qCA/mqdefault.jpg","320","180","https://i.ytimg.com/vi/2g7XtSa9qCA/hqdefault.jpg","480","360","ABC News In-depth","none","2024-11-15T21:00:01Z",2024-11-15
